,0
0,422
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1178
11,0
12,0
13,0
14,0
15,281
16,699
17,823
18,0
19,0
20,0
21,0
22,68
23,0
24,1011
25,0
26,0
27,0
28,0
29,1001
30,0
31,0
32,554
33,151
34,0
35,0
36,852
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,903
46,0
47,0
48,1136
49,0
50,0
51,0
52,0
53,754
54,0
55,1002
56,0
57,1295
58,0
59,474
60,0
61,698
62,664
63,294
64,380
65,0
66,0
67,316
68,0
69,1115
70,0
71,0
72,1152
73,0
74,0
75,0
76,630
77,0
78,723
79,0
80,0
81,39
82,1049
83,750
84,0
85,723
86,0
87,0
88,1246
89,0
90,699
91,0
92,487
93,0
94,410
95,0
96,0
97,236
98,1524
99,1199
100,0
101,0
102,0
103,0
104,682
105,0
106,0
107,0
108,0
109,0
110,0
111,552
112,0
113,0
114,173
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,765
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,1350
131,0
132,200
133,0
134,0
135,1443
136,0
137,528
138,0
139,211
140,1182
141,0
142,1531
143,0
144,832
145,0
146,0
147,1159
148,0
149,35
150,0
151,151
152,30
153,1268
154,0
155,0
156,0
157,0
158,0
159,1328
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,620
168,0
169,0
170,0
171,0
172,0
173,376
174,0
175,0
176,0
177,0
178,1071
179,0
180,0
181,0
182,0
183,315
184,865
185,1154
186,0
187,0
188,0
189,1047
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,822
198,0
199,0
200,0
201,0
202,0
203,103
204,0
205,0
206,0
207,693
208,685
209,656
210,0
211,0
212,768
213,1304
214,425
215,0
216,0
217,321
218,0
219,901
220,955
221,298
222,676
223,0
224,0
225,859
226,0
227,0
228,1454
229,0
230,279
231,0
232,698
233,0
234,0
235,1347
236,732
237,59
238,5
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,1084
249,0
250,1204
251,0
252,0
253,1414
254,0
255,1342
256,0
257,119
258,0
259,434
260,0
261,0
262,0
263,0
264,0
265,227
266,0
267,0
268,0
269,1292
270,1469
271,563
272,0
273,1425
274,0
275,1199
276,0
277,0
278,0
279,0
280,787
281,0
282,537
283,468
284,227
285,0
286,1301
287,396
288,268
289,0
290,0
291,1500
292,0
293,427
294,0
295,0
296,0
297,870
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,928
307,113
308,0
309,140
310,303
311,1056
312,0
313,0
314,319
315,0
316,951
317,0
318,0
319,0
320,0
321,0
322,660
323,532
324,0
325,0
